data,values
12932973168,34846
12932549648,27293
12935159760,18725
12936016272,17817
12935229856,24142
12931574736,17044
12932518304,15252
12934530544,14314
12932994272,13070
12933966224,12037
12935517168,10315
12933578608,10148
12933757376,11039
12932065776,5880
12933993312,5113
12931778816,5080
12936030864,4832
12934563536,4282
12932512416,4137
12935833360,3984
12930815088,3893
12933140416,3536
12934242192,3359
12930936480,3087
12935051504,2827
12934753520,2717
12934711488,2496
12921551520,2394
12932266800,2301
12935677744,2026
12897646832,1981
12929839904,2021
12935635744,1876
12933786096,1788
12934011040,1677
12933106560,1655
12935265008,1621
12935821840,1610
12885770112,1536
12929261344,1521
12934290176,1470
12932563120,1387
12934148096,1332
12930892592,1295
12935955824,1284
12930768336,1272
12930931632,1226
12934753728,1197
12933858768,1157
12935565840,1172
12935107296,1149
12926100816,1104
12931486080,1127
12935960672,1283
12933361312,1076
12936394096,1071
12936118032,1043
12929799552,1014
12935239472,1019
12931900512,1004
12933631088,986
12933836992,959
12933975120,929
12932696784,927
12935550176,905
12931531872,893
12934714784,884
12931439056,855
12935895376,834
12931722272,827
12935312944,807
12934461440,774
12935012368,732
12927790080,732
12934620192,725
12936000336,701
12935223776,685
12932540880,685
12929775488,667
12886804560,659
12930930896,668
12935786624,626
12935310608,629
12922407952,607
12935446704,599
12925810704,593
12924851520,582
12932420048,565
12936033296,556
12930331360,558
12935973376,542
12935201248,531
12934947840,537
12932463216,506
12934682352,510
12932292352,593
12934232320,394
12934804992,515
12935932112,499
12935295488,499
12932446624,467
12936371120,463
12933506368,454
12925912896,453
12934519200,451
12934220624,448
12935254128,444
12925136976,444
12936003456,438
12935420320,438
12933042032,430
12936416048,429
12933077072,424
12934922704,422
12929648112,413
12936144624,411
12932048160,404
12929952208,400
12929753520,396
12935202640,394
12932133632,391
12932325680,382
12929440832,382
12935997696,371
12934070048,371
12934819984,369
12935833552,367
12935285968,367
12934254064,363
12926668256,360
12934451952,355
12933214272,340
12935677136,337
12935926576,333
12935482096,333
12853885520,333
12932503328,328
12936321744,327
12935582464,324
12933028208,321
12934415376,318
12933589920,316
12932143808,308
12931105664,300
12918254096,302
12934902432,305
12935560880,295
12933856016,295
12934897184,279
12932949808,292
12935258128,290
12933844256,289
12929111280,289
12935453264,299
12935379712,288
12935898224,280
12933812432,270
12926468336,268
12877721872,270
12935588304,266
12936276656,265
12935477712,263
12933863856,263
12934623104,262
12933031536,256
12934967280,259
12933531808,257
12935624640,264
12925552512,256
12931019632,254
12936355056,250
12933848560,250
12929488576,250
12935869072,249
12934700080,249
12935068304,246
12935953152,243
12935160592,241
12927850352,241
12930128016,240
12935379584,235
12934142480,229
12934879024,225
12936339632,223
12936164928,223
12934684416,219
12934806032,218
12923086768,211
12936250944,208
12932241408,207
12936000176,208
12935702640,206
12935076480,203
12931278640,203
12935001040,202
12935995088,201
12934535936,201
12934507120,201
12934938272,199
12928255632,199
12933859696,198
12936222048,175
12935893280,194
12914217264,194
12933700448,188
12932290736,198
12935532192,190
12933430976,187
12933182768,182
12936293312,183
12935873472,180
12933974160,180
12935005216,179
12934456960,188
12933369184,169
12923954352,179
12919563968,180
12935949312,169
12935807712,173
12928365152,172
12935798192,171
12934790368,170
12933479472,167
12935367840,165
12935255696,165
12915623488,159
12934952448,162
12936231248,173
12932507040,154
12929977520,158
12927230704,156
12934573104,157
12934430224,160
12933986192,151
12931435840,152
12935229504,151
12920175344,158
12935559472,144
12936125040,148
12935083088,148
12932365680,148
12936043360,147
12930699856,150
12933616768,149
12935655024,144
12932580384,144
12935545712,143
12925940160,143
12935880336,140
12933234160,141
12934547552,132
12935997760,139
12935269728,139
12934897152,135
12928171936,138
12936095760,137
12935196400,135
12933396144,137
12931660256,136
12934610096,136
12918498496,135
12936060880,134
12935797536,133
12936355232,124
12936177168,133
12934468192,133
12935299152,134
12934563488,132
12930367792,132
12935895296,130
12933267424,130
12935477936,129
12935408112,132
12934879424,129
12936189120,128
12936352384,127
12935486832,124
12930698464,125
12936003792,124
12934557040,118
12934520640,126
12933700208,121
12934230816,123
12910271584,123
12935413328,121
12919352144,121
12900394976,121
12935546400,120
12935455488,120
12933757920,122
12933739424,120
12936393184,119
